obs_id,osm_url
272003781,https://www.openstreetmap.org/node/12773017664
271933294,https://www.openstreetmap.org/node/2767057311
271748522,https://www.openstreetmap.org/node/12770724927
271591299,https://www.openstreetmap.org/node/13850754231
270911163,https://www.openstreetmap.org/node/4781618342
270698412,https://www.openstreetmap.org/node/2326501362
270060578,https://www.openstreetmap.org/node/4578464001
269424024,https://www.openstreetmap.org/node/13892536456
269370946,https://www.openstreetmap.org/node/13812214430
269310317,https://www.openstreetmap.org/node/1259587250
269077094,https://www.openstreetmap.org/node/353469160
269017747,https://www.openstreetmap.org/node/3131913605
268905222,https://www.openstreetmap.org/node/6095571785
268812352,https://www.openstreetmap.org/node/13821554406
268688662,https://www.openstreetmap.org/node/12190154500
268217946,https://www.openstreetmap.org/node/554797517
267969040,https://www.openstreetmap.org/node/4472974820
267921008,https://www.openstreetmap.org/node/4472974820
267680343,https://www.openstreetmap.org/node/9922802696
266363312,https://www.openstreetmap.org/node/10935096569
266126348,https://www.openstreetmap.org/node/13185262524
266074997,https://www.openstreetmap.org/node/1259587250
265950792,https://www.openstreetmap.org/node/13892536456
265692233,https://www.openstreetmap.org/node/10935096569
265040841,https://www.openstreetmap.org/node/8396978959
264103425,https://www.openstreetmap.org/node/8428535154
263944390,https://www.openstreetmap.org/node/3855696279
263873563,https://www.openstreetmap.org/node/10935096569
263645371,https://www.openstreetmap.org/node/8897430685
262371988,https://www.openstreetmap.org/node/13775586492
262280150,https://www.openstreetmap.org/node/11709307205
262118430,https://www.openstreetmap.org/node/13892536456
261990970,https://www.openstreetmap.org/node/10935096569
261822242,https://www.openstreetmap.org/node/455984558
261808893,https://www.openstreetmap.org/node/3855696279
261472260,https://www.openstreetmap.org/node/5595234842
261347419,https://www.openstreetmap.org/node/12579580576
261090760,https://www.openstreetmap.org/node/2627623829
260679186,https://www.openstreetmap.org/node/353469160
260532972,https://www.openstreetmap.org/node/353469160
260413038,https://www.openstreetmap.org/node/3855696279
260036769,https://www.openstreetmap.org/node/4565394685
259987853,https://www.openstreetmap.org/node/10819574159
259564109,https://www.openstreetmap.org/node/676026140
259253897,https://www.openstreetmap.org/node/13892536456
259081297,https://www.openstreetmap.org/node/3855696279
258716237,https://www.openstreetmap.org/node/9922802696
258644876,https://www.openstreetmap.org/node/11411799227
258225278,https://www.openstreetmap.org/node/554797659
258114239,https://www.openstreetmap.org/node/12506965556
257639746,https://www.openstreetmap.org/node/6417173264
257586978,https://www.openstreetmap.org/node/4565394685
257533930,https://www.openstreetmap.org/node/10935096569
257497482,https://www.openstreetmap.org/node/13892536456
257463251,https://www.openstreetmap.org/node/1371366506
257101045,https://www.openstreetmap.org/node/8344369744
257098356,https://www.openstreetmap.org/node/8344369744
256802479,https://www.openstreetmap.org/node/13892687628
256402359,https://www.openstreetmap.org/node/13775586492
256361708,https://www.openstreetmap.org/node/12460730038
256205715,https://www.openstreetmap.org/node/11461009132
255583836,https://www.openstreetmap.org/node/12237645582
255583092,https://www.openstreetmap.org/node/12433426252
254649454,https://www.openstreetmap.org/node/2818215555
254296201,https://www.openstreetmap.org/node/8651709101
254057460,https://www.openstreetmap.org/node/12394953895
254057197,https://www.openstreetmap.org/node/12394953895
254056761,https://www.openstreetmap.org/node/12394953895
254056592,https://www.openstreetmap.org/node/12394953895
253656382,https://www.openstreetmap.org/node/12386840008
253622598,https://www.openstreetmap.org/node/5940861986
253353529,https://www.openstreetmap.org/node/10819574159
253169326,https://www.openstreetmap.org/node/4429089292
253046922,https://www.openstreetmap.org/node/9922802696
252645117,https://www.openstreetmap.org/node/12133939617
252417314,https://www.openstreetmap.org/node/1721577600
252370614,https://www.openstreetmap.org/node/6635516819
252226644,https://www.openstreetmap.org/node/8344369744
252156630,https://www.openstreetmap.org/node/13812227489
251945330,https://www.openstreetmap.org/node/4565394685
251865960,https://www.openstreetmap.org/node/12348101750
251675534,https://www.openstreetmap.org/node/12348488796
251379729,https://www.openstreetmap.org/node/353469160
251067334,https://www.openstreetmap.org/node/12385329786
250386933,https://www.openstreetmap.org/node/10935096569
250216205,https://www.openstreetmap.org/node/1794962343
249874339,https://www.openstreetmap.org/node/12301653618
249273783,https://www.openstreetmap.org/node/7954386115
249085857,https://www.openstreetmap.org/node/2767057311
248913077,https://www.openstreetmap.org/node/13892536456
248781309,https://www.openstreetmap.org/node/12282446277
248780392,https://www.openstreetmap.org/node/12282446272
248667290,https://www.openstreetmap.org/node/12278615275
248666648,https://www.openstreetmap.org/node/12278615264
248662624,https://www.openstreetmap.org/node/12278615272
248637250,https://www.openstreetmap.org/node/12256290533
248340998,https://www.openstreetmap.org/node/13892536456
248313880,https://www.openstreetmap.org/node/1794962343
248118181,https://www.openstreetmap.org/node/6635516819
247785274,https://www.openstreetmap.org/node/2627623829
247616243,https://www.openstreetmap.org/node/7161353478
247614242,https://www.openstreetmap.org/node/12255097324
247545888,https://www.openstreetmap.org/node/12254044421
247203071,https://www.openstreetmap.org/node/9870414266
247147130,https://www.openstreetmap.org/node/13850754231
246814237,https://www.openstreetmap.org/node/13892536456
246634602,https://www.openstreetmap.org/node/12241543437
246531059,https://www.openstreetmap.org/node/11461009132
246503835,https://www.openstreetmap.org/node/2767057311
246368595,https://www.openstreetmap.org/node/12236286927
245758336,https://www.openstreetmap.org/node/1419409788
245248593,https://www.openstreetmap.org/node/12215925319
245248527,https://www.openstreetmap.org/node/12215925320
244764926,https://www.openstreetmap.org/node/554797517
244650191,https://www.openstreetmap.org/node/4810238838
244579137,https://www.openstreetmap.org/node/2326501362
243993202,https://www.openstreetmap.org/node/4565394685
243979766,https://www.openstreetmap.org/node/1259587250
243554438,https://www.openstreetmap.org/node/11008372763
243404294,https://www.openstreetmap.org/node/11008373106
241419097,https://www.openstreetmap.org/node/1259587250
241255926,https://www.openstreetmap.org/node/8085239362
240076847,https://www.openstreetmap.org/node/6209432005
239815853,https://www.openstreetmap.org/node/10819574159
239363231,https://www.openstreetmap.org/node/13892574683
239193323,https://www.openstreetmap.org/node/10935096569
238605393,https://www.openstreetmap.org/node/13892536456
237893223,https://www.openstreetmap.org/node/8431669016
237514975,https://www.openstreetmap.org/node/5566642127
237422930,https://www.openstreetmap.org/node/4899233243
237085005,https://www.openstreetmap.org/node/9922802696
236686895,https://www.openstreetmap.org/node/3024026843
234591944,https://www.openstreetmap.org/node/10935096569
233243612,https://www.openstreetmap.org/node/3131913605
232745837,https://www.openstreetmap.org/node/10935096569
232692519,https://www.openstreetmap.org/node/5895219394
232559263,https://www.openstreetmap.org/node/10819574159
232534545,https://www.openstreetmap.org/node/2326501362
232367230,https://www.openstreetmap.org/node/1721577600
231812473,https://www.openstreetmap.org/node/1259587250
231640585,https://www.openstreetmap.org/node/676026140
231640022,https://www.openstreetmap.org/node/1500151302
229901125,https://www.openstreetmap.org/node/13194492030
229029891,https://www.openstreetmap.org/node/12051123093
229029578,https://www.openstreetmap.org/node/12051123094
228605863,https://www.openstreetmap.org/node/1259587250
228289114,https://www.openstreetmap.org/node/12820904681
227641669,https://www.openstreetmap.org/node/5940861986
